med
persistance frequency amplitude(price) octaves units name
0.9 0.05 10.0 8 3000 Water
0.9 0.07 20.0 8 1000 Grain
0.9 0.10 30.0 8 500 Meat
0.9 0.15 50.0 8 500 Wood
0.9 0.10 90.0 8 400 Paper
0.9 0.20 100.0 8 200 Clothing
0.9 0.20 400.0 8 100 Steel
0.9 0.25 800.0 8 40 Electricity
0.9 0.10 900.0 8 100 Oil
0.9 0.25 1000.0 8 50 Tools
0.9 0.28 1500.0 8 50 Electronics
0.9 0.15 2000.0 8 40 Vehicles
0.9 0.05 10000.0 8 20 Housing
0.9 0.07 20000.0 8 10 Medicin
0.9 0.15 30000.0 8 10 Warfare
0.9 0.30 50000.0 8 10 Luxury
